Membrane potential (mV),Stimulus,Total Current Input (a.u.)
-87.45,0,2
-87.29,0,2
-87.12,0,2
-86.96,0,2
-86.79,0,2
-86.63,0,2
-86.46,0,2
-86.3,0,2
-86.14,0,2
-85.98,0,2
-85.82,0,2
-85.67,0,2
-85.51,0,2
-85.55,0,2
-85.25,0,2
-85.06,0,1
-85.02,0,2
-84.78,0,2
-84.6,0,2
-84.44,0,2
-84.29,0,2
-84.23,0,2
-84.02,0,2
-83.86,0,2
-83.71,0,2
-83.56,0,2
-83.42,0,2
-83.28,0,2
-83.14,0,2
-83,0,2
-82.86,0,2
-82.72,0,2
-82.58,0,2
-82.54,0,2
-82.43,0,2
-82.21,0,2
-82.05,0,2
-81.91,0,2
-81.78,0,2
-81.65,0,2
-81.51,0,2
-81.39,0,2
-81.26,0,2
-81.13,0,2
-81,0,2
-80.88,0,1
-80.89,0,2
-80.68,0,2
-80.52,0,2
-80.39,0,2
-80.26,0,2
-80.14,0,2
-80.02,0,2
-79.9,0,2
-79.78,0,2
-79.66,0,2
-79.55,0,2
-79.43,0,2
-79.32,0,2
-79.2,0,2
-79.09,0,2
-78.98,0,2
-78.86,0,2
-78.75,0,2
-78.64,0,2
-78.53,0,2
-78.42,0,2
-78.31,0,2
-78.21,0,2
-78.1,0,2
-77.99,0,2
-77.89,0,2
-77.79,0,2
-77.68,0,2
-77.58,0,2
-77.48,0,2
-77.38,0,2
-77.27,0,1
-77.33,0,2
-77.34,0,2
-77.1,0,2
-76.93,0,2
-76.81,0,2
-76.7,0,2
-76.59,0,2
-76.5,1,52.89
-47.83,1,162.59
-65,1,118.86
29.63,1,71.52
-47.58,1,34.27
-28.4,1,27.88
-65,1,27.11
-65.04,1,27.01
-64.96,1,27
-64.74,1,27
-64.38,1,27
-63.89,1,27
-63.46,1,27
-62.71,1,27
-61.8,1,27
-60.71,1,27.01
-59.38,1,27
-57.9,1,27
-55.73,1,26.98
-52.66,1,27
-48.09,1,27
-39.24,1,27
-16.56,1,27
-65.46,1,27
-66.58,1,27
-67.32,1,27
-67.74,1,27
-67.89,1,27
-68.04,1,27
-67.79,1,27
-67.43,1,27
-66.98,1,27
-66.47,1,27
-65.88,1,27
-65.23,1,27.02
-64.5,1,27
-63.68,1,27
-62.77,1,27
-61.71,1,27.01
-60.47,1,27
-58.96,1,27
-57.04,1,27
-54.44,1,26.99
-50.61,1,27
-44.11,1,27
-30.08,1,27
19.33,1,27
-65.84,1,27
-66.8,1,27
-67.57,1,27
-67.83,1,27
-67.87,1,27
-67.72,1,27
-67.45,1,27
-67.07,1,27
-66.6,1,27
-66.06,1,27
-65.45,1,27
-64.77,1,27
-64,1,27
-63.13,1,27
-62.14,1,27
-60.99,1,27
-59.6,1,27
-57.87,1,27
-55.6,1,27
-52.37,1,27
-47.22,1,27
-37.32,1,27
-10.18,1,27
-65.44,1,27
-66.51,1,27
-67.23,1,26
-67.8,1,27
-67.9,1,27
-67.8,1,27
-67.56,1,27
-67.21,1,27
-66.77,1,27
-66.25,1,27
-65.66,1,27
-65,1,27
-64.26,1,27
-63.42,1,27
-62.47,1,27
-61.38,1,27
-60.07,1,27
-58.46,1,27
-56.39,1,27
-53.53,1,27
-49.36,1,27
-41.72,1,27
-23.79,1,26.02
-65,1,27
-66.19,0,24.5
-68.27,0,20.56
-72.02,0,14.92
-77.24,0,2
-84.47,0,2
-87.06,0,2
-87.53,0,2
-87.57,0,2
-87.38,0,2
-87.2,0,2
-87.04,0,2
-86.87,0,2
-86.7,0,2
-86.54,0,2
-86.38,0,2
-86.22,0,2
-86.06,0,2
-85.9,0,2
-85.74,0,2
-85.58,0,2
-85.51,0,2
-85.29,0,2
-85.12,0,2
-84.97,0,2
-85.01,0,2
-84.71,0,2
-84.53,0,2
-84.37,0,2
-84.21,0,2
-84.15,0,2
-83.94,0,2
-83.78,0,2
-83.63,0,2
-83.49,0,2
-83.34,0,2
-83.2,0,2
-83.06,0,2
-82.92,0,2
-82.78,0,2
-82.65,0,2
-82.51,0,2
-82.37,0,2
-82.24,0,2
-82.1,0,2
-81.97,0,2
-81.84,0,2
-81.71,0,2
-81.58,0,2
-81.45,0,2
-81.32,0,2
-81.19,0,2
-81.06,0,2
-80.94,0,2
-81.01,0,2
-80.76,0,2
-80.79,0,2
-80.52,0,2
-80.35,0,2
-80.21,0,2
-80.08,0,2
-79.96,0,2
-79.84,0,2
-79.72,0,2
-79.6,0,2
-79.49,0,2
-79.37,0,2
-79.26,0,2
-79.14,0,2
-79.03,0,2
-78.92,0,2
-78.8,0,2
-78.69,0,2
-78.58,0,2
-78.47,0,2
-78.37,0,2
-78.26,0,2
-78.15,0,2
-78.04,0,2
-77.94,0,2
-77.83,0,2
-77.73,0,2
-77.63,0,2
-77.52,0,2
-77.42,0,2
-77.32,0,1
-77.37,0,2
-77.19,0,2
-77.05,0,2
-76.94,0,2
-76.83,0,2
-76.73,0,2
-76.64,0,2
-76.54,0,2
-76.44,1,101.17
-20.1,1,168.46
-36.33,1,98.94
-52.56,1,54.67
-21.75,1,30.35
-65,1,27.4
-64.86,1,27.05
-64.8,1,27.01
-64.61,1,27
-64.28,1,27
-63.81,1,27
-63.22,1,27
-62.49,1,27
-61.61,1,26
-60.73,1,27
-59.43,1,27
-57.78,1,27
-55.59,1,27
-52.47,1,27
-47.52,1,27
-38.09,1,27
-12.91,1,27
-65.47,1,27.01
-66.61,1,27
-67.38,1,27
-67.81,1,27
-67.98,1,26.99
-67.94,1,27
-67.74,1,27
-67.42,1,27
-67,1,27
-66.68,1,27
-66.09,1,27
-65.43,1,27
-64.91,1,27
-64.09,1,27
-63.17,1,27
-62.34,1,27
-61.15,1,27
-59.73,1,27
-57.98,1,27
-55.69,1,27
-52.46,1,27
-47.33,1,27
-37.5,1,27
-11.21,1,27
-65.43,1,27
-66.64,1,27
-67.29,1,27
-67.63,1,27
-67.73,1,27
-67.63,1,27
-67.39,1,27
-67.04,1,27
-66.6,1,27
-66.08,1,27
-65.48,1,27
-64.81,1,26
-64.25,1,27
-63.38,1,27
-62.4,1,27
-61.26,1,27
-59.91,1,27
-58.25,1,27
-56.09,1,27
-53.08,1,27
-48.41,1,26
-40.06,1,27.01
-18.93,1,27
-65,1,27
-66.2,1,27
-67.03,1,26.99
-67.53,1,27
-67.74,1,27.02
-67.73,1,27
-67.56,1,27
-67.26,1,27
-66.87,1,26.99
-66.39,1,27
-65.84,1,27
-65.2,1,27
-64.5,1,27
-63.7,1,27
-62.99,1,27
-61.95,1,27
-60.73,1,27
-59.26,1,27
-57.42,1,27.01
-54.95,1,27
-51.37,1,26
-45.71,1,27
-33.92,1,26.99
2.5,1,27
-65.82,1,27.01
-67.24,0,23.57
-69.56,0,19.19
-73.51,0,11.89
-79.51,0,2
-85.69,0,2
-87.26,0,2
-87.48,0,2
-87.39,0,2
-87.25,0,2
-87.08,0,2
-86.92,0,2
-86.75,0,2
-86.59,0,2
-86.43,0,2
-86.46,0,2
-86.15,0,2
-85.96,0,2
-85.79,0,2
-85.63,0,2
-85.47,0,2
-85.32,0,2
-85.16,0,2
-85.01,0,1
-85.18,0,2
-84.79,0,2
-84.58,0,2
-84.41,0,2
-84.34,0,2
-84.13,0,2
-84.17,0,2
-83.88,0,2
-83.69,0,2
-83.53,0,2
-83.39,0,2
-83.44,0,2
-83.16,0,2
-82.98,0,2
-82.83,0,2
-82.69,0,2
-82.55,0,2
-82.41,0,2
-82.28,0,2
-82.14,0,2
-82.01,0,2
-81.88,0,2
-81.74,0,2
-81.61,0,2
-81.48,0,2
-81.35,0,2
-81.23,0,2
-81.1,0,2
-80.97,0,2
-80.85,0,2
-80.72,0,2
-80.6,0,2
-80.48,0,2
-80.35,0,2
-80.23,0,2
-80.11,0,2
-79.99,0,2
-79.87,0,2
-79.75,0,2
-79.64,0,2
-79.52,0,2
-79.4,0,2
-79.29,0,2
-79.17,0,1
-79.21,0,2
-79.01,0,1
-79.01,0,2
-78.79,0,2
-78.64,0,2
-78.52,0,2
-78.4,0,2
-78.4,0,2
-78.23,0,2
-78.09,0,2
-77.98,0,2
-77.87,0,2
-77.76,0,2
-77.66,0,2
-77.55,0,2
-77.45,0,2
-77.35,0,2
-77.25,0,2
-77.15,0,2
-77.05,0,2
-76.95,0,2
-76.85,0,1
-76.91,0,2
-76.73,0,2
-76.6,0,2
-76.49,0,2
-66.2,1,139.51
24.58,1,158.86
-6.51,1,78.09
-44.51,1,39.56
-13.7,1,28.52
-65.1,1,27.18
-64.98,1,27.02
-64.82,1,27
-64.53,1,27
-64.1,1,27
-63.55,1,27.01
-62.85,1,27
-62.03,1,27
-61.03,1,27
-59.81,1,26.99
-58.29,1,27
-56.29,1,27
-53.51,1,27
-49.26,1,27
-41.65,1,27
-23.76,1,27
-65,1,27
-66.29,1,27
-67.19,1,27
-67.73,1,27.01
-67.98,1,27
-67.99,1,27.01
-67.84,1,26.98
-67.57,1,27
-67.18,1,26.98
-66.73,1,27
-66.19,1,27
-65.76,1,27
-65.05,1,27
-64.28,1,27
-63.42,1,27
-62.44,1,27
-61.31,1,27
-59.97,1,27
-58.32,1,27
-56.18,1,27
-53.21,1,27
-48.62,1,27
-40.23,1,27
-19.47,1,27
-65,1,27.01
-66.19,1,27
-67.02,1,27
-67.52,1,26.98
-67.74,1,27.01
-67.73,1,27
-67.56,1,27
-67.26,1,27
-66.87,1,26.99
-66.39,1,27
-65.83,1,27
-65.2,1,27
-64.49,1,27
-63.7,1,27
-62.79,1,27
-61.75,1,27
-60.52,1,27
-59.03,1,27.01
-57.12,1,27.01
-54.56,1,27
-50.8,1,27
-44.45,1,26.99
-30.97,1,26.99
15.16,1,27
-65.84,1,27
-66.8,1,27
-67.4,1,26
-67.89,1,27
-67.91,1,27
-67.76,1,27
-67.47,1,27.01
-67.08,1,27
-66.62,1,27
-66.08,1,27
-65.67,1,26.99
-64.96,1,27
-64.36,1,27
-63.47,1,27
-62.47,1,27
-61.32,1,27
-59.97,1,27
-58.29,1,27
-56.13,1,27.01
-53.11,1,27
-48.43,1,27
-39.82,1,27
-18.21,1,26.99
-65,1,27
-66.19,0,24.5
-68.27,0,22.64
-70.83,0,17.43
-75.23,0,7.71
-82.4,0,1
-86.64,0,2
-87.44,0,2
-87.49,0,2
-87.36,0,2
-87.2,0,2
-87.04,0,2
-86.87,0,2
-86.71,0,2
-86.55,0,2
-86.38,0,2
-86.22,0,2
-86.06,0,2
-85.9,0,2
-85.75,0,2
-85.59,0,2
-85.43,0,2
-85.28,0,2
-85.12,0,2
-84.97,0,2
-84.82,0,2
-84.67,0,2
-84.52,0,2
-84.37,0,2
-84.22,0,2
-84.07,0,2
-83.93,0,2
-83.78,0,2
-83.64,0,2
-83.49,0,2
-83.35,0,2
-83.21,0,2
-83.07,0,2
-82.93,0,2
-82.79,0,2
-82.65,0,2
-82.51,0,2
-82.38,0,2
-82.24,0,2
-82.11,0,2
-81.98,0,2
-81.84,0,2
-81.71,0,2
-81.58,0,2
-81.45,0,2
-81.32,0,2
-81.2,0,2
-81.07,0,2
-80.94,0,2
-80.82,0,2
-80.69,0,2
-80.57,0,2
-80.44,0,2
-80.32,0,2
-80.2,0,2
-80.08,0,2
-79.96,0,2
-79.84,0,2
-79.72,0,2
-79.61,0,2
-79.49,0,2
-79.38,0,2
-79.26,0,1
-79.29,0,2
-79.09,0,2
-78.94,0,2
-78.82,0,2
-78.7,0,2
-78.59,0,2
-78.48,0,2
-78.37,0,2
-78.26,0,2
-78.16,0,2
-78.05,0,2
-77.94,0,2
-77.84,0,2
-77.85,0,2
-77.68,0,2
-77.55,0,2
-77.44,0,2
-77.33,0,2
-77.23,0,2
-77.13,0,2
-77.03,0,2
-76.93,0,2
-76.83,0,2
-76.73,0,2
-76.64,0,2
-76.54,0,2
-76.45,1,52.92
-47.76,1,162.66
-65,1,137.39
-65,1,60.05
-34.55,1,32.57
10.42,1,27.67
-64.88,1,27.08
-64.82,1,27.01
-64.65,1,27
-64.33,1,27
-63.88,1,27
-63.3,1,27
-62.79,1,27
-61.92,1,27
-60.88,1,27
-59.61,1,27
-58,1,27
-55.9,1,27
-52.92,1,27
-48.28,1,27
-39.67,1,27
-17.93,1,27
-65,1,27
-66.3,1,27
-67.21,1,26
-67.94,1,27
-68.15,1,27
-68.14,1,27
-67.96,1,27
-67.66,1,27
-67.27,1,27
-66.79,1,27.01
-66.24,1,27
-65.63,1,27
-64.95,1,27
-64.2,1,26.99
-63.36,1,27
-62.39,1,27
-61.27,1,27
-59.93,1,27
-58.29,1,27
-56.15,1,27
-53.18,1,27
-48.58,1,27
-40.17,1,27
-19.29,1,27
-65,1,27
-66.39,1,27
-67.19,1,27
-67.66,1,27
-67.85,1,27
-67.83,1,27
-67.64,1,27
-67.33,1,27
-66.93,1,27
-66.44,1,27
-65.88,1,27
-65.25,1,27
-64.54,1,27
-63.75,1,26
-63.04,1,27
-62,1,27
-60.79,1,27
-59.34,1,27
-57.52,1,27
-55.09,1,27
-51.59,1,26
-46.09,1,27
-34.79,1,27
-0.91,1,26.01
-65.44,1,27
-66.51,1,27
-67.23,1,27
-67.63,1,26.99
-67.76,1,27
-67.87,1,27
-67.61,1,27.02
-67.24,1,27
-66.79,1,27.02
-66.26,1,27
-65.67,1,26.99
-65.02,1,27
-64.28,1,26.99
-63.45,1,27
-62.5,1,27
-61.4,1,27
-60.1,1,27
-58.5,1,27
-56.44,1,27
-53.6,1,27.01
-49.25,1,27
-41.51,1,27
-23.19,1,27
-65,1,26.99
-66.2,0,23.01
-69.23,0,21.57
-72.11,0,15.14
-77.19,0,2
-84.44,0,2
-87.06,0,2
-87.53,0,2
-87.5,0,2
-87.36,0,2
-87.2,0,2
-87.04,0,2
-86.87,0,2
-86.71,0,2
-86.54,0,2
-86.38,0,2
-86.22,0,2
-86.06,0,2
-85.9,0,2
-85.74,0,2
-85.59,0,2
-85.43,0,2
-85.27,0,2
-85.12,0,2
-84.97,0,2
-84.81,0,2
-84.66,0,2
-84.51,0,2
-84.36,0,2
-84.22,0,2
-84.07,0,2
-83.92,0,2
-83.78,0,2
-83.63,0,2
-83.49,0,2
-83.35,0,2
-83.21,0,2
-83.07,0,2
-83.02,0,2
-82.81,0,2
-82.66,0,2
-82.71,0,2
-82.44,0,2
-82.26,0,2
-82.11,0,2
-81.98,0,2
-81.84,0,2
-81.71,0,2
-81.58,0,2
-81.45,0,2
-81.32,0,2
-81.19,0,2
-81.06,0,2
-80.94,0,2
-80.81,0,2
-80.69,0,1
-80.71,0,2
-80.49,0,2
-80.34,0,2
-80.2,0,2
-80.08,0,2
-79.96,0,2
-79.84,0,2
-79.72,0,2
-79.6,0,2
-79.49,0,2
-79.37,0,2
-79.26,0,2
-79.14,0,2
-79.03,0,2
-78.92,0,2
-78.81,0,2
-78.9,0,2
-78.67,0,2
-78.51,0,2
-78.58,0,2
-78.35,0,2
-78.19,0,2
-78.06,0,2
-77.95,0,1
-77.99,0,2
-77.8,0,2
-77.66,0,2
-77.54,0,1
-77.58,0,2
-77.39,0,2
-77.25,0,2
-77.14,0,2
-77.03,0,2
-76.93,0,2
-76.83,0,2
-76.73,0,2
-76.63,0,2
-76.54,0,2
-76.44,1,101.27
-20.03,1,168.62
-36.3,1,112.87
-51.77,1,46.54
-23.77,1,29.36
-65,1,26.29
-65.12,1,27.03
-65.03,1,26
-64.99,1,27
-64.61,1,27
-64.11,1,27
-63.48,1,27
-62.73,1,27
-61.84,1,27
-60.76,1,27
-59.44,1,27
-57.78,1,27
-55.58,1,27
-52.44,1,27
-47.45,1,27
-37.92,1,27
-12.79,1,27
-65.46,1,27
-66.6,1,27
-67.36,1,27
-67.79,1,27
-67.95,1,27
-67.9,1,27
-67.7,1,27
-67.38,1,27
-66.96,1,27
-66.47,1,27
-65.9,1,27
-65.26,1,27
-64.55,1,27
-63.75,1,27
-62.85,1,27
-61.81,1,27
-60.59,1,27
-59.33,1,27.01
-57.69,1,27
-55.32,1,27
-51.92,1,27
-46.42,1,26.99
-35.52,1,27
-3.69,1,27
-65.43,1,27
-66.5,1,27
-67.2,1,27
-67.59,1,27
-67.72,1,27
-67.65,1,27
-67.43,1,27
-67.1,1,27
-66.67,1,27
-66.16,1,27
-65.57,1,27
-64.91,1,27
-64.17,1,27
-63.33,1,27
-62.38,1,27
-61.27,1,27
-59.94,1,27
-58.31,1,27
-56.19,1,27
-53.25,1,27.01
-48.69,1,27
-40.39,1,27
-19.97,1,27
-65,1,26.99
-66.21,1,27
-67.05,1,27.02
-67.55,1,27
-67.77,1,27
-67.77,1,27
-67.6,1,26.99
-67.31,1,27
-66.92,1,27.02
-66.43,1,27.01
-65.87,1,27
-65.24,1,27
-64.54,1,26.96
-63.76,1,27
-62.87,1,27
-61.84,1,27
-60.62,1,27
-59.16,1,27
-57.3,1,27
-54.81,1,27
-51.19,1,27
-45.15,1,27
-32.64,1,27
7.73,1,27
-65.84,1,27
-67.28,0,21.8
-70.67,0,20.22
-73.68,0,12.07
-79.52,0,2
-85.7,0,2
-87.27,0,2
-87.5,0,2
-87.41,0,2
-87.26,0,2
-87.1,0,2
-86.93,0,2
-86.77,0,1
-86.73,0,2
-86.47,0,2
-86.29,0,2
-86.12,0,2
-85.96,0,2
-85.8,0,2
-85.64,0,2
-85.49,0,2
-85.33,0,2
-85.18,0,2
-85.02,0,2
-84.87,0,2
-84.72,0,2
-84.57,0,2
-84.42,0,2
-84.27,0,2
-84.12,0,2
-83.98,0,2
-83.83,0,2
-83.69,0,2
-83.54,0,2
-83.4,0,2
-83.26,0,1
-83.25,0,2
-83.02,0,2
-82.85,0,2
-82.7,0,2
-82.56,0,2
-82.43,0,2
-82.29,0,2
-82.16,0,2
-82.02,0,2
-81.89,0,2
-81.76,0,2
-81.63,0,2
-81.5,0,2
-81.46,0,2
-81.37,0,2
-81.16,0,2
-81,0,2
-80.86,0,2
-80.74,0,2
-80.61,0,2
-80.59,0,2
-80.4,0,2
-80.26,0,2
-80.13,0,2
-80,0,2
-79.88,0,2
-79.76,0,2
-79.65,0,2
-79.53,0,2
-79.41,0,2
-79.3,0,2
-79.29,0,2
-79.11,0,2
-78.98,0,2
-78.85,0,2
-78.74,0,2
-78.63,0,2
-78.52,0,2
-78.41,0,2
-78.3,0,2
-78.19,0,2
-78.08,0,2
-77.98,0,2
-77.87,0,2
-77.77,0,2
-77.67,0,2
-77.56,0,2
-77.46,0,2
-77.36,0,2
-77.26,0,2
-77.16,0,2
-77.06,0,2
-76.96,0,2
-76.86,0,2
-76.77,0,2
-76.67,0,2
-76.58,0,2
-76.48,0,2
-76.39,1,101.36
-19.88,1,168.76
-36.27,1,112.94
-51.75,1,46.55
-23.65,1,28.36
-65,1,27.29
-64.89,1,27.04
-64.79,1,27
-64.56,1,26.98
-64.2,1,27
-63.7,1,27
-63.07,1,27
-62.3,1,27
-61.37,1,27
-60.23,1,27
-58.82,1,27
-57.01,1,27
-54.55,1,27
-50.91,1,27
-44.78,1,27
-32.27,1,27
9.15,1,27
-65.9,1,27
-66.93,1,27
-67.59,1,27.01
-67.93,1,27
-68.02,1,27
-67.92,1,26.98
-67.68,1,27
-67.33,1,27
-66.89,1,27
-66.38,1,27
-65.79,1,27.01
-65.13,1,27
-64.4,1,27
-63.58,1,26.98
-62.66,1,27
-61.59,1,27
-60.33,1,27
-58.79,1,27
-56.82,1,27
-54.33,1,27
-50.42,1,27
-43.74,1,27
-29.16,1,27
23.89,1,27
-65.84,1,27.02
-66.79,1,27
-67.39,1,27
-67.69,1,27
-67.76,1,26.99
-67.65,1,27
-67.39,1,27
-67.02,1,27
-66.74,1,27
-66.18,1,27
-65.73,1,27
-65,1,27
-64.21,1,27
-63.33,1,27
-62.53,1,27
-61.58,1,27
-60.24,1,26
-58.82,1,27
-56.78,1,27
-54,1,27
-49.83,1,27
-42.55,1,27
-25.98,1,27
-65,1,27
-66.13,1,27
-66.91,1,27.02
-67.36,1,27
-67.55,1,27
-67.69,1,27.01
-67.67,1,26.99
-67.3,1,27
-66.84,1,26.98
-66.31,1,27
-65.71,1,27
-65.04,1,27
-64.29,1,27
-63.64,1,27
-62.88,1,27
-61.78,1,27.02
-60.49,1,27
-58.94,1,27
-56.97,1,27
-54.3,1,26.99
-50.36,1,27
-43.59,1,27
-28.73,1,27
26.1,1,27
-65.83,0,24.5
-68.03,0,20.55
-71.54,0,19.47
-74.99,0,7.87
-81.96,0,2
-86.43,0,2
-87.43,0,2
-87.24,0,3
-87.22,0,2
-87.13,0,2
-87.06,0,3
-86.79,0,2
-86.45,0,3
-86.39,0,2
-86.38,0,2
-86.25,0,3
-85.98,0,2
-85.63,0,3
-85.58,0,2
-85.58,0,2
-85.18,0,3
-85.11,0,2
-84.83,0,2
-84.92,0,2
-84.83,0,2
-84.62,0,3
-84.4,0,2
-84.28,0,2
-84.02,0,3
-83.91,0,2
-83.62,0,3
-83.59,0,2
-83.61,0,2
-83.51,0,3
-83.34,0,2
-82.94,0,3
-82.88,0,2
-82.9,0,2
-82.81,0,3
-82.55,0,2
-82.22,0,3
-82.17,0,2
-82.11,0,2
-82.09,0,3
-81.86,0,2
-81.54,0,3
-81.5,0,2
-81.54,0,2
-81.46,0,3
-81.21,0,2
-80.88,0,3
-80.84,0,2
-80.79,0,2
-80.79,0,3
-80.57,0,1
-80.39,0,3
-80.26,0,2
-80.28,0,2
-80.21,0,3
-79.97,0,2
-79.64,0,3
-79.6,0,2
-79.55,0,2
-79.57,0,3
-79.35,0,2
-79.04,0,3
-79.11,0,2
-79.11,0,2
-79.04,0,3
-78.8,0,2
-78.48,0,3
-78.44,0,2
-78.39,0,2
-78.42,0,3
-78.22,0,2
-78.11,0,2
-78.12,0,2
-78.06,0,2
-77.97,0,3
-77.72,0,2
-77.39,0,3
-77.35,0,2
-77.31,0,2
-77.36,0,3
-77.17,0,2
-76.86,0,3
-76.83,0,2
-76.92,0,2
-76.9,0,3
-76.69,0,2
-76.37,0,3
-76.34,0,2
-76.1,0,3
-76.11,1,53.07
-57.31,1,136.58
-65,1,155.89
-65,1,86.41
-16.06,1,37.48
-64.12,1,28.15
-63.1,1,28.14
-62.84,1,27.02
-62.5,1,27
-62.21,1,27
-61.76,1,27
-60.72,1,28
-59.64,1,27
-58.24,1,27.01
-56.61,1,28
-54.13,1,27
-50.15,1,28
-43.54,1,26.99
-29.26,1,27
22.05,1,28
-65.92,1,27
-67.04,1,28
-67.77,1,27
-68.35,1,27
-68.41,1,28
-68.3,1,27
-68.07,1,27
-67.89,1,27
-67.59,1,27
-66.82,1,28
-66.23,1,27
-65.59,1,27
-65.06,1,28
-64.24,1,27
-63.14,1,27
-62.32,1,27
-61.34,1,27
-60.16,1,28
-58.49,1,27
-56.12,1,28
-53.05,1,27
-48.54,1,27
-40.06,1,28
-18.87,1,27
-65,1,27
-66.33,1,27
-67.27,1,27
-67.47,1,28
-67.64,1,27
-67.61,1,27
-67.76,1,28
-67.35,1,27
-66.68,1,28.01
-66.16,1,27
-65.58,1,27.02
-65.1,1,27.98
-64.33,1,27
-63.28,1,28
-62.31,1,26.99
-61.19,1,27
-60.05,1,27
-58.62,1,27
-56.33,1,28
-53.41,1,27
-48.88,1,27
-41,1,28
-21.7,1,27
-65,1,28
-66.16,1,27
-67.35,1,27
-67.93,1,28
-68.01,1,27
-67.72,1,28
-67.51,1,27
-67.19,1,27.01
-66.94,1,28
-66.4,1,27
-65.6,1,27.98
-64.96,1,27
-64.23,1,27
-63.59,1,27
-62.83,1,27
-61.53,1,28
-60.22,1,26
-58.83,1,27
-57.04,1,27
-54.61,1,26
-50.79,1,28
-44.36,1,27
-30.32,1,28
18.29,1,27
-65.93,1,27.02
-67.19,1,28
-67.64,1,27
-67.64,0,24.02
-70.03,0,19.08
-73.7,0,16.1
-77.08,0,3
-83.98,0,2
-86.43,0,1
-87.29,0,2
-87.23,0,2
-86.81,0,3
-86.74,0,2
-86.44,0,2
-86.52,0,3
-86.29,0,2
-86.04,0,3
-85.93,0,2
-85.63,0,2
-85.72,0,2
-85.62,0,2
